n,mean_ratio,sem
2.037670000000000000e+05,1.311787525229690665e+00,7.192072205481019444e-04
2.087530000000000000e+05,1.311867118390128484e+00,7.007070642634092216e-04
2.138630000000000000e+05,1.312447726006889637e+00,6.962435875646135353e-04
2.190990000000000000e+05,1.311338465804427145e+00,6.932800549918656649e-04
2.244610000000000000e+05,1.312051126408170898e+00,7.303804712208783814e-04
2.299550000000000000e+05,1.312415288030553961e+00,6.490864317790505551e-04
2.355850000000000000e+05,1.311354858866120576e+00,7.036203944374090202e-04
2.413510000000000000e+05,1.310412040859945337e+00,7.112246885855025205e-04
2.472590000000000000e+05,1.312504692974175713e+00,6.450552127504539284e-04
2.533110000000000000e+05,1.312405864162520031e+00,6.784786462677175551e-04
2.595110000000000000e+05,1.313208701616979113e+00,6.641518637285207579e-04
2.658630000000000000e+05,1.312586446741635715e+00,6.862114083438519436e-04
2.723710000000000000e+05,1.313027039128175089e+00,6.912777413602890376e-04
2.790370000000000000e+05,1.313727082198991258e+00,6.529744205812949018e-04
2.858670000000000000e+05,1.314185189580392654e+00,6.473906718376668456e-04
2.928650000000000000e+05,1.312028463098442455e+00,6.582014073995822454e-04
3.000330000000000000e+05,1.311609675452766188e+00,5.929821856417703298e-04
3.073770000000000000e+05,1.314935994370175276e+00,5.774423509804839936e-04
3.149010000000000000e+05,1.314000857445978054e+00,6.367050735630515887e-04
3.226090000000000000e+05,1.314504037328248831e+00,6.206417881170839734e-04
3.305050000000000000e+05,1.313574039795369242e+00,6.115388546589843296e-04
3.385950000000000000e+05,1.312383800282490576e+00,5.766685065123394651e-04
3.468830000000000000e+05,1.313292723509840609e+00,5.973263244362751745e-04
3.553730000000000000e+05,1.313934825493099590e+00,5.735471232660085007e-04
3.640710000000000000e+05,1.313226733393823231e+00,6.084766189655394604e-04
3.729830000000000000e+05,1.314019957918367121e+00,5.651862540043689357e-04
3.821130000000000000e+05,1.313438893061991353e+00,5.612673230087096825e-04
3.914670000000000000e+05,1.313209952498531008e+00,5.905621507803567212e-04
4.010470000000000000e+05,1.313260000372599601e+00,5.479478552183764941e-04
4.108650000000000000e+05,1.312863340193955342e+00,5.680087418343131083e-04
4.209210000000000000e+05,1.315764719048386988e+00,5.657068460013716261e-04
4.312250000000000000e+05,1.314516281243918394e+00,5.464601015764835755e-04
4.417790000000000000e+05,1.314383235272110539e+00,5.453478620308095355e-04
4.525930000000000000e+05,1.315233112380773450e+00,5.438076328215954653e-04
4.636710000000000000e+05,1.314089700895341606e+00,5.324396115516702010e-04
4.750210000000000000e+05,1.313796778270661658e+00,5.348889725410028821e-04
4.866470000000000000e+05,1.313568712317247700e+00,5.430091558548744753e-04
4.985590000000000000e+05,1.315650402420110110e+00,4.935339410538565775e-04
5.107630000000000000e+05,1.315715828461305525e+00,5.329648478687192730e-04
5.232650000000000000e+05,1.314698849422333504e+00,5.112475092088957992e-04
5.360730000000000000e+05,1.316619219471188318e+00,5.308484236038908937e-04
5.491950000000000000e+05,1.314864432288858520e+00,5.266071276495527202e-04
5.626370000000000000e+05,1.314533255358682151e+00,4.898408510250043318e-04
5.764090000000000000e+05,1.314016400211444946e+00,4.683353364677399081e-04
5.905170000000000000e+05,1.315049832701625121e+00,4.940643322050270554e-04
6.049710000000000000e+05,1.313761914494655958e+00,4.630567844251281986e-04
6.197790000000000000e+05,1.315391646900259559e+00,4.877891689154655193e-04
6.349510000000000000e+05,1.315256817572491466e+00,4.633772000477134260e-04
6.504930000000000000e+05,1.316205617648496862e+00,4.448961675955032482e-04
6.664150000000000000e+05,1.316737708924580641e+00,4.404298320892595224e-04
6.827270000000000000e+05,1.315796178409119888e+00,4.860038048815123937e-04
6.994370000000000000e+05,1.316400544713297149e+00,4.483318359941612674e-04
7.165570000000000000e+05,1.316409376171237655e+00,4.415800452459398180e-04
7.340970000000000000e+05,1.316691671822158183e+00,4.167859228586941146e-04
7.520650000000000000e+05,1.315561084782675749e+00,4.552155940809633761e-04
7.704750000000000000e+05,1.315565059805282155e+00,4.423463554063619295e-04
7.893330000000000000e+05,1.316774334347827757e+00,4.640338962312181258e-04
