q,count
3,346065536839
5,346065536838
7,330230871966
11,314396215964
13,330230880835
17,299751349350
19,285106565342
23,266908118397
29,271591452473
31,239370407482
37,270122215629
41,232512835531
43,215640366660
47,218931344334
53,209097004210
59,196542244246
61,223532049120
67,173720077124
71,166702708571
73,195235508043
79,151008944336
83,143445496749
89,164653763791
97,167723175023
101,142638667186
103,124498434007
107,122972432871
109,153567524695
113,123662732922
127,107163683742
131,105097203862
137,110060405943
139,96370901493
149,98446139197
151,86058849974
157,115780837356
163,73397922854
167,85797293477
173,81861961948
179,78412674690
181,104780452704
191,66297088853
193,90634734843
197,70638083896
199,60196636621
211,55055110744
223,48171406520
227,56183934088
229,83383880257
233,59954686337
239,52460442517
241,70602454767
251,44013491961
257,51025057835
263,41084530278
269,46903421459
271,39482408533
277,59377333610
281,42333032207
283,32832647888
293,36907028930
307,32609746570
311,31539345899
313,51343766506
317,32128083160
331,27586524390
337,46136769648
347,30432944546
349,43340284419
353,26471534081
359,28123851020
367,23717949168
373,36887670246
379,22269749929
383,24237221660
389,25609759933
397,31119442965
401,22235478891
409,29718984501
419,21172174172
421,28120217334
431,17685352211
433,22060694399
439,18146220848
443,16214879706
449,17704423929
457,19774077594
461,17099389485
463,15430692453
467,15091872410
479,13166057678
487,14694216157
491,11476837491
499,12671464416
503,10515218583
509,13688973452
521,13037757876
523,10867916537
541,18395679377
547,9995260671
557,11753161963
563,8919940714
569,9898054973
571,9610942256
577,14222034358
587,8199238555
593,9028104669
599,7497054354
601,14060997490
607,7918102058
613,12945779086
617,8126146018
619,6938473623
631,6484784166
641,7502562952
643,5855037996
647,6174295474
653,6352136316
659,5920531067
661,11015188959
673,10102074360
677,5544371629
683,4938680845
691,5027926229
701,4995928064
709,9710222627
719,4585442547
727,4501440821
733,7449554856
739,4192118500
743,4015361828
751,3674381680
757,7094351457
761,4245887247
769,6591756703
773,4019948990
787,3161251821
797,3667253515
809,3294137405
811,2925429638
821,2791988287
823,2631913969
827,3667150627
829,5867562579
839,3038478808
853,4425678126
857,2537029311
859,2225495801
863,2749707478
877,4347144689
881,2277050420
883,1932445761
887,2554587190
907,1851300818
911,2386108949
919,1695494079
929,1882473352
937,3459739752
941,1683572086
947,2023337426
953,1687500265
967,1369412637
971,1832644661
977,1489208178
983,1590363177
991,1285434357
997,3135214087
1009,3642740738
1013,1233865287
1019,1486995892
1021,2931960571
1031,1369031184
1033,2641284680
1039,1159490247
1049,1274659049
1051,1013927667
1061,977346603
1063,977860786
1069,2554622616
1087,864382986
1091,1147774776
1093,2100265865
1097,894768183
1103,947866744
1109,857640792
1117,1794252489
1123,721037891
1129,1819520424
1151,899998881
1153,1455132908
1163,818673137
1171,703409049
1181,649865567
1187,784526052
1193,687804940
1201,1490127210
1213,1163718397
1217,650429458
1223,650404085
1229,561862012
1231,605195855
1237,1043747357
1249,1046568411
1259,650037336
1277,469468701
1279,537440325
1283,480822439
1289,450691124
1291,460073950
1297,794328800
1301,399811187
1303,415537308
1307,529519855
1319,474354768
1321,892805670
1327,403124960
1361,312453839
1367,396243606
1373,338658511
1381,761283742
1399,363867917
1409,296985627
1423,321828361
1427,352645335
1429,693882158
1433,244874135
1439,315038849
1447,282225297
1451,296534121
1453,548243398
1459,246828844
1471,214117622
1481,210344216
1483,206835200
1487,244245387
1489,518408614
1493,219640794
1499,225994908
1511,214674636
1523,175796638
