q,count
2,675895909269
3,645697046494
5,587515151266
7,578556748894
11,508776755444
13,499252252816
17,414489967586
19,440258930512
23,363830673454
29,338134009365
31,359125397171
37,311312830716
41,268786854776
43,273895549465
47,221812756715
53,205335459436
59,188570643809
61,223926263593
67,197540003218
71,152944588046
73,164292849677
79,161482382275
83,126278202127
89,114637689952
97,128692473424
101,97643735049
103,110560042520
107,85344532897
109,106509615351
113,74634897642
127,87891283024
131,65394207424
137,59305983913
139,78802273459
149,53685129703
151,72273488989
157,57765865640
163,54257465780
167,43239912084
173,38136493092
179,36886286865
181,50273317478
191,31784480014
193,39712081229
197,27604927816
199,38870811021
211,35483284311
223,27842720143
227,22692494399
229,27473836394
233,20820907803
239,19921739955
241,23258596327
251,17737730958
257,14167340035
263,13919377371
269,12741124575
271,20620960941
277,18621988003
281,11100399822
283,15229012426
293,9836888084
307,14582798553
311,8450961936
313,12374108371
317,7412252983
331,12924405543
337,10806498712
347,6448083739
349,10105197607
353,6027798499
359,5861376293
367,8094705823
373,7469494701
379,7767739622
383,4782390392
389,4821859547
397,5972174043
401,3898675809
409,5466696437
419,3768819834
421,5424302897
431,3130962312
433,4158682348
439,4100321293
443,2626193536
449,2676179492
457,3602921644
461,2298142392
463,3117772657
467,2034261590
479,1810637898
487,2777647208
491,1664413567
499,2800117497
503,1507306419
509,1316597467
521,1141695823
523,2109431940
541,2267413845
547,1807481183
557,1089611138
563,923868528
569,841202577
571,1847731451
577,1362085434
587,797938979
593,692944354
599,630866195
601,1450268983
607,1083421930
613,1108601723
617,597034190
619,1044288031
631,995432452
641,503259913
643,764246388
647,439897887
653,396183919
659,377179745
661,738161224
673,604306812
677,326919292
683,296363443
691,609111404
701,276797212
709,600865145
719,239189830
727,444683658
733,380811794
739,429502008
743,205039533
751,362687317
757,302647805
761,196339009
769,295585494
773,159228168
787,223531523
797,164845086
809,142942175
811,230375240
821,127692856
823,206627744
827,116850198
829,191540291
839,107339277
853,142516145
857,91583099
859,161374806
863,80100131
877,127623034
881,82238162
883,114473657
887,64223900
907,107026853
911,62280192
919,110017693
929,53283335
937,74665669
941,49105653
947,43907760
953,41538539
967,68093599
971,33722879
977,31800383
983,30728323
991,82404154
997,52590536
1009,63878617
1013,25656669
1019,26640863
1021,55991700
1031,21680222
1033,47450257
1039,45355866
1049,21298905
1051,42219778
1061,16954386
1063,31474586
1069,32288176
1087,25918561
1091,15429851
1093,25073230
1097,13843906
1103,12825527
1109,12389732
1117,20668929
1123,19283653
1129,20660259
1151,9357156
1153,15546636
1163,9514327
1171,17947756
1181,7400889
1187,7882557
1193,6647493
1201,14800085
1213,11643084
1217,6698186
1223,5315907
1229,5415819
1231,11648954
1237,9367810
1249,9598809
1259,5002335
1277,3935697
1279,8521315
1283,3625399
1289,3643516
1291,7689634
1297,5707399
1301,3020118
1303,5518503
1307,2568609
1319,2544357
1321,5512225
1327,4412594
1361,2012820
1367,1938902
1373,1892444
1381,4556861
1399,3881798
1409,1755956
1423,3344366
1427,1488847
1429,3372511
1433,1148139
1439,1226137
1447,2559924
1451,1134283
1453,2469508
1459,2400078
1471,2384831
1481,912758
1483,1677361
1487,812977
1489,1789236
1493,774448
1499,730997
1511,650460
1523,545112
1531,1513544
1543,1213297
1549,1327549
1553,535133
1559,473609
1567,1056317
1571,376039
1579,1120466
1583,394769
1597,833668
1601,311945
1607,332366
1609,816890
1613,248138
1619,281707
1621,850712
1627,573171
1637,248839
1657,518711
1663,519414
1667,222584
1669,491052
1693,387665
1697,163887
1699,399089
1709,178591
1721,151558
1723,337356
1733,132271
1741,357900
1747,280540
1753,234879
1759,256899
1777,201150
1783,176445
1787,116555
1789,194110
1801,190933
1811,103038
1823,85530
1831,166467
1847,89717
1861,130222
1867,101721
1871,84238
1873,95142
1877,70058
1879,96733
1889,69758
1901,58525
1907,47743
1913,50174
1931,43952
1933,78089
1949,40565
1951,80538
1973,36534
1979,34569
1987,64513
1993,50470
1997,28150
1999,62437
2003,27185
2011,59390
2017,45876
2027,22065
2029,43457
2039,23830
2053,34196
2063,18288
2069,18313
2081,15316
2083,28725
2087,13593
2089,29790
2099,13806
2111,11291
2113,22289
2129,10947
2131,28534
2137,23313
2141,8521
2143,17471
2153,7812
2161,20380
2179,17832
2203,11378
2207,6612
2213,6380
2221,15539
2237,5389
2239,12940
2243,5232
2251,12989
2267,4668
2269,10960
2273,4106
2281,9831
2287,7875
2293,5878
2297,3751
2309,4182
2311,7839
2333,2938
2339,3131
2341,6248
2347,5451
2351,2558
2357,2098
2371,4422
2377,4664
2381,2317
2383,3391
2389,3738
2393,1765
2399,1901
2411,1628
2417,1228
2423,1271
2437,3396
2441,1264
2447,941
2459,1033
2467,2816
2473,2193
2477,770
2503,1833
2521,2408
2531,827
2539,2026
2543,665
2549,639
2551,1669
2557,1614
2579,624
2591,530
2593,1096
2609,479
2617,1291
2621,379
2633,364
2647,1070
2657,299
2659,1163
2663,293
2671,1047
2677,768
2683,621
2687,264
2689,761
2693,240
2699,224
2707,559
2711,210
2713,471
2719,550
2729,198
2731,582
2741,152
2749,382
2753,122
2767,336
2777,127
2789,123
2791,339
2797,259
2801,105
2803,217
2819,98
2833,195
2837,71
2843,91
2851,266
2857,167
2861,86
2879,74
2887,165
2897,42
2903,50
2909,41
2917,146
2927,45
2939,46
2953,152
2957,30
2963,36
2969,24
2971,157
2999,27
3001,127
3011,25
3019,140
3023,27
3037,104
3041,28
3049,96
3061,81
3067,77
3079,69
3083,15
3089,13
3109,70
3119,13
3121,57
3137,18
3163,38
3167,13
3169,37
3181,36
3187,27
3191,12
3203,15
3209,7
3217,30
3221,13
3229,34
3251,4
3253,29
3257,5
3259,30
3271,25
3299,5
3301,21
3307,12
3313,15
3319,21
3323,5
3329,5
3331,13
3343,9
3347,1
3359,2
3361,6
3371,3
3373,10
3389,1
3391,10
3407,2
3413,4
3433,7
3449,1
3457,12
3461,2
3463,4
3469,9
3491,1
3499,2
3511,9
3517,6
3527,1
3529,2
3533,3
3541,3
3547,4
3557,1
3559,2
3571,2
3581,2
3583,1
3613,2
3617,1
3623,2
3637,3
3643,1
3673,1
3677,1
3697,3
3719,1
3733,1
3767,1
3793,2
3851,1
3907,1
3967,1
4093,1
4261,1
