q,count
2,455052510
3,427639831
5,375536441
7,367754527
11,307689025
13,300116281
17,231199509
19,253527191
23,193823715
29,174803790
31,192955101
37,158828193
41,128142099
43,133168661
47,98690273
53,88737647
59,78741850
61,104172505
67,87865591
71,59798192
73,67845907
79,67094041
83,46742625
89,40909473
97,49982400
101,32999464
103,40707563
107,27935088
109,39408605
113,23227069
127,30544108
131,19550891
137,17318243
139,26705967
149,15153461
151,23955707
157,17443638
163,16084922
167,11596310
173,9653080
179,9228662
181,14845231
191,7572851
193,10705399
197,6321090
199,10536639
211,9294808
223,6545535
227,4908178
229,6556014
233,4418969
239,4145721
241,5250677
251,3555490
257,2582017
263,2546581
269,2247504
271,4553511
277,3947951
281,1872418
283,2965352
293,1595052
307,2854108
311,1292748
313,2256720
317,1085834
331,2442480
337,1892690
347,905642
349,1728318
353,829968
359,799604
367,1273681
373,1144130
379,1210219
383,608206
389,614318
397,839096
401,456043
409,746520
419,438882
421,742315
431,338067
433,511630
439,504480
443,265321
449,273033
457,418759
461,221178
463,346480
467,188490
479,159365
487,294686
491,142357
499,301493
503,124455
509,103094
521,84432
523,201097
541,223373
547,163051
557,79968
563,63198
569,55630
571,169244
577,108780
587,51702
593,42504
599,37442
601,122544
607,79767
613,85485
617,35111
619,77440
631,73000
641,27454
643,50067
647,22762
653,19932
659,18318
661,48156
673,36085
677,15294
683,13047
691,37110
701,11755
709,35671
719,9716
727,23619
733,18819
739,22229
743,7818
751,17829
757,13639
761,7535
769,13527
773,5626
787,9019
797,5928
809,4839
811,9543
821,4042
823,8205
827,3720
829,7246
839,3135
853,4988
857,2583
859,5918
863,2176
877,4038
881,2176
883,3624
887,1543
907,3352
911,1494
919,3409
929,1285
937,1990
941,1110
947,924
953,875
967,1720
971,609
977,601
983,590
991,2271
997,1172
1009,1673
1013,431
1019,500
1021,1359
1031,341
1033,1115
1039,992
1049,313
1051,885
1061,263
1063,575
1069,657
1087,449
1091,226
1093,444
1097,182
1103,156
1109,158
1117,333
1123,305
1129,322
1151,101
1153,231
1163,112
1171,294
1181,79
1187,73
1193,72
1201,195
1213,176
1217,74
1223,51
1229,46
1231,151
1237,121
1249,103
1259,44
1277,30
1279,126
1283,20
1289,34
1291,75
1297,54
1301,18
1303,62
1307,10
1319,11
1321,65
1327,37
1361,12
1367,14
1373,20
1381,36
1399,36
1409,8
1423,26
1427,8
1429,33
1433,5
1439,5
1447,16
1451,8
1453,17
1459,14
1471,18
1481,5
1483,6
1487,7
1489,12
1493,3
1499,4
1511,2
1523,2
1531,10
1543,3
1549,10
1553,2
1567,4
1571,1
1579,8
1583,1
1597,1
1607,3
1609,4
1613,1
1621,3
1627,2
1637,1
1657,1
1663,6
1667,1
1699,2
1723,1
1733,1
1741,2
1759,1
1789,2
1801,1
1811,2
1831,1
1867,1
1889,1
1907,1
1931,1
2089,1
2389,1
