q,count
3,19308136142
5,19308136141
7,18321913827
11,17335692959
13,18321915272
17,16432252672
19,15528760401
23,14416063396
29,14703411621
31,12750575061
37,14636806560
41,12346716489
43,11337084574
47,11556062480
53,10953113255
59,10232552939
61,11864390420
67,8902640012
71,8510870964
73,10185606290
79,7611139706
83,7189551517
89,8381463135
97,8605562608
101,7148111581
103,6131644481
107,6069213896
109,7814024577
113,6097787352
127,5195097500
131,5093420119
137,5347297049
139,4614753569
149,4712062891
151,4069757152
157,5733071015
163,3394761906
167,4091781535
173,3836768180
179,3695622414
181,5138740549
191,3055014197
193,4372093419
197,3269873181
199,2738021899
211,2481919053
223,2128470906
227,2563395507
229,3991611950
233,2727313082
239,2377936225
241,3315274549
251,1944899172
257,2280845712
263,1802128020
269,2075383540
271,1730694887
277,2750401382
281,1853162172
283,1398513710
293,1589468995
307,1396065851
311,1347581740
313,2356049161
317,1365579560
331,1162060105
337,2089510697
347,1304235469
349,1946773359
353,1102685375
359,1193686252
367,983071089
373,1631616502
379,914449284
383,1014567338
389,1066997687
397,1347900941
401,910691380
409,1287024307
419,870547676
421,1206382471
431,709141703
433,917486583
439,733055941
443,646039968
449,710422490
457,812226819
461,686142648
463,610912469
467,598673912
479,513019229
487,583687663
491,439880006
499,494533218
503,400400280
509,532908063
521,505508797
523,416219805
541,756110204
547,379442132
557,452241597
563,334137747
569,370900537
571,364441313
577,565807603
587,304454496
593,336273841
599,275257693
601,561439683
607,293551714
613,513296426
617,300340030
619,253108449
631,234471037
641,273868149
643,208920425
647,222526541
653,227229331
659,212351268
661,429643997
673,389038027
677,195639512
683,172926014
691,176842609
701,173609449
709,373107514
719,159429292
727,156249525
733,276403632
739,144321955
743,137415279
751,124481065
757,261756891
761,145338487
769,240924542
773,137399468
787,104922070
797,123679982
809,109586173
811,96265360
821,90852206
823,85444997
827,124712384
829,212504649
839,100874611
853,154026416
857,82015044
859,70750933
863,90113808
877,151740183
881,72422896
883,60467383
887,83202245
907,57722350
911,77037889
919,52298982
929,58389798
937,117275495
941,51580616
947,64006528
953,52025949
967,41096331
971,57255526
977,45212480
983,48816493
991,38433133
997,105200020
1009,125635416
1013,36464608
1019,45337206
1021,98040100
1031,41299522
1033,87573933
1039,34230386
1049,38066734
1051,29431159
1061,28052749
1063,28302359
1069,84417446
1087,24609042
1091,33870039
1093,67680898
1097,25497281
1103,27283065
1109,24487790
1117,56511891
1123,20101974
1129,57775290
1151,25824662
1153,44791074
1163,23226242
1171,19559136
1181,17763712
1187,22173526
1193,19198416
1201,45964929
1213,34783471
1217,17991537
1223,17923152
1229,15266609
1231,16503460
1237,30863155
1249,30995067
1259,17954050
1277,12465601
1279,14429882
1283,12733532
1289,11892714
1291,12125095
1297,22668468
1301,10362652
1303,10824156
1307,14302768
1319,12625126
1321,25854868
1327,10473450
1361,7831380
1367,10299038
1373,8642555
1381,21677052
1399,9319378
1409,7454877
1423,8127704
1427,9027108
1429,19476855
1433,5968729
1439,7937602
1447,7004085
1451,7435177
1453,14910535
1459,6017900
1471,5124214
1481,5028243
1483,4943201
1487,5968741
1489,14030773
1493,5325402
1499,5457471
1511,5174089
1523,4123133
1531,4035138
1543,3591199
1549,11953825
1553,4791837
1559,4170109
1567,3532710
1571,3421766
1579,3231511
1583,3015070
1597,9858557
1601,3038734
1607,2661015
1609,9574312
1613,3223498
1619,2497592
1621,9765527
1627,2530338
1637,3313373
1657,6415661
1663,2338538
1667,2169564
1669,6624706
1693,5406947
1697,2669680
1699,2033301
1709,2506976
1721,1902616
1723,1692868
1733,1960614
1741,5872994
1747,1596600
1753,4327609
1759,1522558
1777,3522377
1783,1181720
1787,1682066
1789,3735215
1801,3596323
1811,1773892
1823,1356713
1831,1175065
1847,1190487
1861,2775780
1867,977743
1871,1197791
1873,2480616
1877,1681663
1879,875695
1889,1499910
1901,1213988
1907,877978
1913,1210066
1931,956614
1933,2161746
1949,1023109
1951,779932
1973,890448
1979,851184
1987,723682
1993,1650548
1997,899761
1999,620469
2003,739826
2011,577120
2017,1765379
2027,545958
2029,1503901
2039,586889
2053,1226510
2063,497082
2069,700950
2081,618251
2083,457574
2087,402053
2089,1245347
2099,422686
2111,351242
2113,871531
2129,543583
2131,420341
2137,943821
2141,434745
2143,353214
2153,430378
2161,1035267
2179,345404
2203,264503
2207,249555
2213,373629
2221,828449
2237,370663
2239,274859
2243,257818
2251,235283
2267,206908
2269,742587
2273,265835
2281,616079
2287,210193
2293,488679
2297,286266
2309,255339
2311,175968
2333,189613
2339,235238
2341,546682
2347,179891
2351,199115
2357,193321
2371,133744
2377,455725
2381,153309
2383,125328
2389,350821
2393,127376
2399,183060
2411,160415
2417,142979
